dataset,algorithm,seed,k,ndcg,precision
HetrecLastFM,ALS,999,5,0.011687060100713314,0.009410288582183174
HetrecLastFM,ALS,999,10,0.01281053111006169,0.007967377666248417
HetrecLastFM,ItemKNN,999,1,0.00878293601003764,0.00878293601003764
HetrecLastFM,ItemKNN,999,5,0.011687060100713314,0.009410288582183174
HetrecLastFM,ItemKNN,999,10,0.01281053111006169,0.007967377666248417
HetrecLastFM,Pop,999,1,0.00878293601003764,0.00878293601003764
HetrecLastFM,Pop,999,5,0.011687060100713314,0.009410288582183174
HetrecLastFM,Pop,999,10,0.01281053111006169,0.007967377666248417
HetrecLastFM,ALS,7,1,0.009410288582183186,0.009410288582183186
HetrecLastFM,ALS,7,5,0.009364304272698973,0.007402760351317434
HetrecLastFM,ALS,7,10,0.011122797923930547,0.007340025094102873
HetrecLastFM,ItemKNN,7,1,0.009410288582183186,0.009410288582183186
HetrecLastFM,ItemKNN,7,5,0.009364304272698973,0.007402760351317434
HetrecLastFM,ItemKNN,7,10,0.011122797923930547,0.007340025094102873
HetrecLastFM,Pop,7,1,0.009410288582183186,0.009410288582183186
HetrecLastFM,Pop,7,5,0.009364304272698973,0.007402760351317434
HetrecLastFM,Pop,7,10,0.011122797923930547,0.007340025094102873
HetrecLastFM,ALS,2024,1,0.012547051442910916,0.012547051442910916
HetrecLastFM,ALS,2024,5,0.013590739890754894,0.011041405269761589
HetrecLastFM,ALS,2024,10,0.015247389585354487,0.009974905897114155
HetrecLastFM,ItemKNN,2024,1,0.012547051442910916,0.012547051442910916
HetrecLastFM,ItemKNN,2024,5,0.013590739890754894,0.011041405269761589
HetrecLastFM,ItemKNN,2024,10,0.015247389585354487,0.009974905897114155
HetrecLastFM,Pop,2024,1,0.012547051442910916,0.012547051442910916
HetrecLastFM,Pop,2024,5,0.013590739890754894,0.011041405269761589
HetrecLastFM,Pop,2024,10,0.015247389585354487,0.009974905897114155
